window_start,window_end,best_J,best_mean_monthly_ls,best_nw_tstat,best_n_obs
2015-01-31,2019-12-31,9,-0.00032017320819975603,-0.06660545856365505,50
2015-07-31,2020-06-30,9,0.004193719730673346,1.0472812541533312,50
2016-01-31,2020-12-31,9,0.0038099961317223526,0.70689998246296,50
2016-07-31,2021-06-30,6,0.003988454379873703,0.983060251186779,53
2017-01-31,2021-12-31,3,0.0034493882628259037,0.9354550915717782,56
2017-07-31,2022-06-30,3,0.0048469109304957805,1.0654960499647121,56
2018-01-31,2022-12-31,6,0.004885342475876697,0.9959015183406896,53
2018-07-31,2023-06-30,6,0.003007183066298549,0.7018881216358066,53
2019-01-31,2023-12-31,6,0.0021923486650864982,0.5098671548654637,53
2019-07-31,2024-06-30,6,0.006481775458367675,1.4225408373061488,53
2020-01-31,2024-12-31,6,0.004550428204073147,1.0346818508167244,53
2020-07-31,2025-06-30,12,0.008322973767862193,1.0700209592150847,47
2021-01-31,2025-12-31,12,0.010756617451040408,1.329348591465024,47
