formation_date,n_universe,n_winners,n_losers,winners,losers
2015-10-31,154,16,16,"['AMZN', 'AOS', 'BKNG', 'CIEN', 'CTSH', 'EBAY', 'EXPE', 'FIX', 'MPWR', 'NCLH', 'NFLX', 'TKO', 'V', 'VLO', 'VMC', 'VRSN']","['DECK', 'FCX', 'GNRC', 'KKR', 'MOS', 'MRVL', 'MU', 'NRG', 'PSKY', 'PWR', 'STX', 'TRGP', 'VTR', 'VTRS', 'WDC', 'WYNN']"
2015-11-30,154,16,16,"['ADSK', 'AMZN', 'FIX', 'GOOG', 'GOOGL', 'LDOS', 'LII', 'MAS', 'MNST', 'MPWR', 'MSFT', 'NOC', 'PODD', 'TKO', 'VLO', 'VRSN']","['ADM', 'AES', 'BX', 'CF', 'DVN', 'FCX', 'KKR', 'MOS', 'MU', 'NEM', 'QCOM', 'TRGP', 'VTRS', 'WMB', 'WYNN', 'ZBRA']"
2015-12-31,154,16,16,"['ADSK', 'AMD', 'AMZN', 'FIX', 'FSLR', 'GOOG', 'GOOGL', 'KLAC', 'LDOS', 'MAS', 'MGM', 'MPWR', 'MSFT', 'NOC', 'PODD', 'VRSN']","['AES', 'BEN', 'BX', 'CF', 'DVN', 'FCX', 'GNRC', 'KKR', 'MOS', 'MU', 'NEM', 'PNR', 'TRGP', 'WMB', 'WYNN', 'ZBRA']"
2016-01-31,154,16,16,"['ALGN', 'AMD', 'AMZN', 'FSLR', 'GDDY', 'GOOG', 'GOOGL', 'HII', 'KLAC', 'LDOS', 'LHX', 'MPWR', 'MSFT', 'NEM', 'TXN', 'VRSN']","['BX', 'CF', 'DVN', 'FCX', 'HLT', 'KKR', 'KMI', 'MOS', 'MS', 'MU', 'PFG', 'TRGP', 'VRTX', 'WMB', 'WYNN', 'ZBRA']"
2016-02-29,154,16,16,"['ALB', 'AMAT', 'AMD', 'DD', 'FSLR', 'GDDY', 'HII', 'INTU', 'KLAC', 'LUV', 'MPWR', 'MSCI', 'MSFT', 'OMC', 'TRMB', 'VRSN']","['BLDR', 'C', 'CF', 'COP', 'DVN', 'FCX', 'INCY', 'KKR', 'MOS', 'MPC', 'MS', 'MU', 'PKG', 'TRGP', 'VRTX', 'WMB']"
2016-03-31,154,16,16,"['ADSK', 'ALB', 'AMAT', 'AMD', 'AVY', 'GDDY', 'HSIC', 'KLAC', 'LVS', 'PPG', 'PSKY', 'SHW', 'TRMB', 'TTWO', 'WST', 'WYNN']","['AMP', 'BAC', 'C', 'CF', 'DVN', 'INCY', 'MPC', 'MS', 'MU', 'NOW', 'PFG', 'REGN', 'STT', 'TRGP', 'VRTX', 'WMB']"
2016-04-30,155,16,16,"['ALB', 'AMAT', 'AMCR', 'AMD', 'APA', 'CPRT', 'EMR', 'FCX', 'NRG', 'NUE', 'PSKY', 'SPGI', 'STLD', 'VTR', 'WST', 'WYNN']","['AAPL', 'CBRE', 'CF', 'CIEN', 'MPC', 'MU', 'NCLH', 'NTAP', 'NWSA', 'RCL', 'REGN', 'TRGP', 'UAL', 'VRTX', 'WMB', 'ZBRA']"
2016-05-31,155,16,16,"['ALB', 'AMAT', 'AMCR', 'AMD', 'APA', 'CHTR', 'CPRT', 'FCX', 'NDSN', 'NRG', 'NUE', 'OKE', 'STLD', 'VTR', 'WST', 'WYNN']","['APTV', 'CBRE', 'CF', 'CIEN', 'DVN', 'MPC', 'MS', 'MU', 'NCLH', 'PANW', 'REGN', 'SWKS', 'UAL', 'VRTX', 'WMB', 'ZBRA']"
2016-06-30,155,16,16,"['AES', 'ALB', 'AMAT', 'AMD', 'AXON', 'CPRT', 'FCX', 'HAL', 'NDSN', 'NRG', 'NVDA', 'OKE', 'STLD', 'TRGP', 'VTR', 'WYNN']","['APTV', 'BAC', 'CBRE', 'INCY', 'IVZ', 'MPC', 'NCLH', 'NFLX', 'NOW', 'PODD', 'RCL', 'REGN', 'SCHW', 'UAL', 'VRTX', 'ZBRA']"
2016-07-31,156,16,16,"['ALB', 'AMAT', 'AMD', 'ARES', 'AXON', 'BLDR', 'CPRT', 'FCX', 'HPE', 'HPQ', 'OKE', 'PKG', 'STLD', 'TRGP', 'URI', 'VEEV']","['AIG', 'CF', 'DIS', 'GILD', 'IVZ', 'LUV', 'LYB', 'MET', 'MPC', 'NCLH', 'NFLX', 'RCL', 'ROP', 'UAL', 'WBD', 'ZBRA']"
