formation_date,n_universe,n_winners,n_losers,winners,losers
2015-10-31,154,16,16,"['ACGL', 'AIZ', 'CASY', 'CCL', 'DXCM', 'FISV', 'GPN', 'LDOS', 'META', 'NKE', 'NVDA', 'NVR', 'PGR', 'PSA', 'TTWO', 'TYL']","['APA', 'APO', 'AXON', 'BIIB', 'COP', 'CVX', 'EQT', 'EXC', 'GRMN', 'KMI', 'LULU', 'NEM', 'OKE', 'RL', 'URI', 'WMT']"
2015-11-30,154,16,16,"['AIZ', 'CASY', 'CBOE', 'DHI', 'DXCM', 'ERIE', 'EVRG', 'EXR', 'IBKR', 'MSI', 'NKE', 'NVDA', 'NVR', 'PSA', 'STZ', 'TAP']","['APO', 'ARES', 'AXON', 'BG', 'BIIB', 'CMI', 'ECHO', 'EQT', 'KMI', 'LULU', 'NRG', 'PWR', 'STX', 'SWKS', 'WDC', 'WMT']"
2015-12-31,154,16,16,"['AIZ', 'ATO', 'AWK', 'CASY', 'CDW', 'CLX', 'DAL', 'EVRG', 'EXR', 'MAA', 'NVDA', 'NVR', 'PSA', 'STZ', 'TAP', 'TSN']","['APO', 'ARES', 'AXON', 'BG', 'BIIB', 'BKR', 'CMI', 'EQT', 'FTNT', 'HCA', 'KMI', 'NRG', 'PWR', 'SWKS', 'WDC', 'WSM']"
2016-01-31,154,16,16,"['ATO', 'AWK', 'CASY', 'CLX', 'COHR', 'DLR', 'EVRG', 'EXR', 'MAA', 'NI', 'NVDA', 'O', 'PSA', 'STZ', 'TAP', 'TSN']","['APO', 'ARES', 'AXON', 'AXP', 'BLDR', 'CMG', 'CMI', 'FTNT', 'INCY', 'MRVL', 'NRG', 'PWR', 'STX', 'TSLA', 'WDC', 'WSM']"
2016-02-29,154,16,16,"['ATO', 'AWK', 'CMS', 'COHR', 'DLR', 'DPZ', 'HRL', 'KMB', 'NDAQ', 'NEM', 'NI', 'O', 'PSA', 'TAP', 'TPR', 'TSN']","['ARES', 'BG', 'CMG', 'CMI', 'DXCM', 'EQT', 'FFIV', 'FTNT', 'HCA', 'KMI', 'NRG', 'OKE', 'RL', 'STX', 'SYF', 'TSLA']"
2016-03-31,154,16,16,"['ATO', 'COHR', 'DLR', 'EVRG', 'HRL', 'LNT', 'LULU', 'MAA', 'MCD', 'META', 'NI', 'O', 'PSA', 'STLD', 'TPR', 'VZ']","['ARES', 'BBY', 'BG', 'BIIB', 'BKR', 'CMG', 'DOC', 'DXCM', 'FTNT', 'KEY', 'KMI', 'LLY', 'NRG', 'RL', 'STX', 'WDC']"
2016-04-30,155,16,16,"['AWK', 'DG', 'DLR', 'DLTR', 'EXC', 'GRMN', 'IDXX', 'LITE', 'LNT', 'LULU', 'MRVL', 'NEM', 'NI', 'O', 'TPR', 'TSN']","['AKAM', 'BF-B', 'BKR', 'CDW', 'CMG', 'COR', 'CTSH', 'DXCM', 'EA', 'ECHO', 'FIS', 'JBL', 'KMI', 'NKE', 'RL', 'SBUX']"
2016-05-31,155,16,16,"['AWK', 'DG', 'DLR', 'DRI', 'EQT', 'EXC', 'IDXX', 'LITE', 'LNT', 'LULU', 'NI', 'O', 'TPR', 'TSN', 'WEC', 'WMT']","['AKAM', 'BKR', 'CBOE', 'CI', 'CMG', 'COR', 'DXCM', 'FSLR', 'FTNT', 'HRL', 'JBL', 'KMI', 'LLY', 'NKE', 'RL', 'SBUX']"
2016-06-30,155,16,16,"['ATO', 'AWK', 'DG', 'DLR', 'EIX', 'EQT', 'EXC', 'FANG', 'IRM', 'LNT', 'LULU', 'NEM', 'NI', 'O', 'SYK', 'T']","['BIIB', 'CI', 'CMG', 'COR', 'ELV', 'FSLR', 'HRL', 'IQV', 'JBL', 'KR', 'LLY', 'NKE', 'PNC', 'RL', 'SYF', 'WSM']"
2016-07-31,155,16,16,"['DECK', 'DLR', 'DPZ', 'EW', 'GRMN', 'IDXX', 'IRM', 'JCI', 'LITE', 'MRVL', 'NEM', 'O', 'PWR', 'SYY', 'TSN', 'WELL']","['CI', 'CMG', 'COHR', 'COR', 'CTSH', 'CVS', 'EXR', 'FSLR', 'HRL', 'KR', 'MCD', 'NKE', 'PSA', 'RL', 'SBUX', 'SMCI']"
2016-08-31,156,16,16,"['AIZ', 'AVGO', 'CASY', 'DLR', 'DOC', 'DXCM', 'EQT', 'EVRG', 'FANG', 'IDXX', 'IRM', 'NEM', 'TDG', 'TKO', 'TMUS', 'YUM']","['AZO', 'CI', 'CMG', 'COHR', 'CVS', 'DRI', 'ECHO', 'ELV', 'FSLR', 'HRL', 'KR', 'NKE', 'PSA', 'SBUX', 'SMCI', 'TGT']"
