formation_date,n_universe,n_winners,n_losers,winners,losers
2015-10-31,153,16,16,"['CINF', 'EA', 'EQIX', 'EW', 'GOOG', 'GOOGL', 'HRL', 'LII', 'MAS', 'MDLZ', 'MO', 'NOC', 'ORLY', 'RCL', 'REGN', 'SBUX']","['BEN', 'BKR', 'CMI', 'COR', 'CSX', 'DVN', 'EMR', 'GEN', 'HAL', 'HPQ', 'IBM', 'NSC', 'SLB', 'STLD', 'TDY', 'TPR']"
2015-11-30,153,16,16,"['CINF', 'EW', 'FISV', 'GPN', 'HD', 'HRL', 'JKHY', 'LUV', 'MCD', 'META', 'NFLX', 'ORLY', 'RCL', 'SBUX', 'TTWO', 'TYL']","['AKAM', 'COO', 'DECK', 'ELV', 'FFIV', 'GEN', 'HPQ', 'HUM', 'MCK', 'MRVL', 'OKE', 'PCAR', 'SMCI', 'STLD', 'VTR', 'WAB']"
2015-12-31,154,16,16,"['CINF', 'EQIX', 'GPN', 'HRL', 'JKHY', 'KDP', 'KIM', 'KMB', 'LUV', 'MCD', 'META', 'MO', 'NFLX', 'RCL', 'TTWO', 'TYL']","['ADM', 'AKAM', 'CAT', 'COO', 'COP', 'DECK', 'EOG', 'FFIV', 'HAL', 'HST', 'MRVL', 'OKE', 'PCAR', 'SMCI', 'VTR', 'WAB']"
2016-01-31,154,16,16,"['EQIX', 'FANG', 'GE', 'HRL', 'ICE', 'JKHY', 'KDP', 'KMB', 'MCD', 'META', 'MO', 'NDAQ', 'SMCI', 'TPR', 'TTWO', 'TYL']","['AKAM', 'COO', 'CSX', 'DECK', 'FFIV', 'GILD', 'HBAN', 'HPQ', 'HST', 'MCK', 'NTAP', 'OKE', 'STT', 'SW', 'VTR', 'WAB']"
2016-02-29,154,16,16,"['ALGN', 'CINF', 'EQIX', 'EW', 'FICO', 'GE', 'HSIC', 'JKHY', 'KDP', 'KR', 'MCD', 'NOC', 'NVDA', 'PAYX', 'PM', 'TTWO']","['ADM', 'AES', 'AKAM', 'AXP', 'BKR', 'CFG', 'EOG', 'KEY', 'MCK', 'SBAC', 'STT', 'SWKS', 'UHS', 'WAB', 'WDC', 'WSM']"
2016-03-31,154,16,16,"['APA', 'EMR', 'EQIX', 'FAST', 'FICO', 'FSLR', 'GE', 'HII', 'ISRG', 'ITW', 'NEM', 'NUE', 'NVDA', 'PM', 'TSN', 'XYL']","['ADM', 'AKAM', 'AXP', 'CFG', 'COP', 'COR', 'JBL', 'KEYS', 'MCK', 'MET', 'NXPI', 'PANW', 'TYL', 'UNP', 'WAB', 'WSM']"
2016-04-30,155,16,16,"['AVGO', 'BAX', 'BSX', 'CNP', 'CRL', 'EVRG', 'EW', 'FAST', 'GNRC', 'HII', 'IRM', 'ISRG', 'NVDA', 'TSLA', 'ULTA', 'XYL']","['ADM', 'AIG', 'AME', 'AXON', 'BG', 'DAL', 'FDS', 'GS', 'INCY', 'KEYS', 'LYV', 'SBAC', 'STX', 'TYL', 'WDC', 'WSM']"
2016-05-31,155,16,16,"['AXON', 'BSX', 'CNP', 'EQIX', 'EVRG', 'EW', 'IRM', 'ISRG', 'MLM', 'MRSH', 'NEM', 'NVDA', 'TECH', 'ULTA', 'XYL', 'ZBH']","['AIG', 'AME', 'AXP', 'CAH', 'CFG', 'GS', 'INCY', 'INTC', 'PSX', 'STX', 'TEL', 'TYL', 'VLO', 'VTRS', 'WDC', 'WSM']"
2016-06-30,155,16,16,"['BSX', 'CINF', 'CMI', 'CNP', 'COO', 'EQIX', 'EVRG', 'HII', 'JCI', 'MLM', 'MRSH', 'TPL', 'ULTA', 'VMC', 'WM', 'XYL']","['AIG', 'AME', 'ANET', 'BG', 'CCL', 'CF', 'CFG', 'DAL', 'GS', 'KEY', 'PANW', 'STX', 'SWKS', 'VLO', 'VTRS', 'WDC']"
2016-07-31,155,16,16,"['BSX', 'CMI', 'CNP', 'COO', 'DHR', 'FICO', 'FIS', 'GNRC', 'HII', 'MLM', 'NVDA', 'TXN', 'ULTA', 'VMC', 'XYL', 'ZBH']","['AME', 'BF-B', 'CCL', 'DAL', 'EQR', 'GDDY', 'GS', 'HIG', 'PANW', 'PNC', 'PSX', 'SNA', 'SWKS', 'VLO', 'VTRS', 'WFC']"
2016-08-31,155,16,16,"['BSX', 'CHTR', 'CRH', 'CTAS', 'EOG', 'EW', 'FIS', 'GEN', 'IFF', 'LITE', 'MCHP', 'SNPS', 'TYL', 'ULTA', 'XYL', 'ZBH']","['BMY', 'CAH', 'CCL', 'DAL', 'DVA', 'FAST', 'FIX', 'HSIC', 'LUV', 'PANW', 'PSX', 'PYPL', 'TSCO', 'VLO', 'VRSN', 'VTRS']"
2016-09-30,155,16,16,"['ALGN', 'BSX', 'CHTR', 'DXCM', 'EA', 'GEN', 'IFF', 'KMI', 'LITE', 'MCHP', 'MRVL', 'NXPI', 'TDG', 'TYL', 'WDC', 'XYL']","['BMY', 'CCL', 'CTSH', 'DAL', 'DIS', 'DVA', 'EQR', 'FSLR', 'HIG', 'HSIC', 'TROW', 'TSLA', 'VLO', 'VRSN', 'VTRS', 'WFC']"
2016-10-31,155,16,16,"['ALGN', 'ANET', 'DXCM', 'EA', 'EME', 'FFIV', 'GEN', 'GLW', 'JBL', 'MCHP', 'QCOM', 'SNPS', 'TER', 'TPL', 'TTWO', 'WDC']","['BMY', 'CAH', 'COR', 'CTSH', 'DIS', 'DVA', 'HSIC', 'LOW', 'MCK', 'NRG', 'SHW', 'SW', 'TROW', 'TSCO', 'VTRS', 'WSM']"
2016-11-30,155,16,16,"['ANET', 'BBY', 'EME', 'FFIV', 'GEN', 'GS', 'IDXX', 'KEY', 'LVS', 'MCHP', 'PTC', 'RF', 'STLD', 'TDY', 'TPL', 'TTWO']","['AVB', 'BMY', 'BSX', 'CAH', 'CMG', 'CRL', 'DVA', 'EFX', 'EQR', 'EW', 'F', 'HSIC', 'MNST', 'SPG', 'UHS', 'VRSN']"
2016-12-31,155,16,16,"['ANET', 'BBY', 'BKR', 'DAL', 'EME', 'JBL', 'JPM', 'MTB', 'NDSN', 'NFLX', 'PH', 'PNC', 'TER', 'TPL', 'TTWO', 'USB']","['ALLE', 'BMY', 'BSX', 'CRL', 'CRM', 'DG', 'DXCM', 'HSIC', 'IRM', 'SHW', 'SPG', 'TECH', 'TSCO', 'UHS', 'WELL', 'ZBH']"
2017-01-31,155,16,16,"['BBY', 'COF', 'GEN', 'HAL', 'IDXX', 'JPM', 'LUV', 'MTB', 'NDSN', 'NFLX', 'PH', 'PNC', 'PTC', 'ROK', 'TER', 'TTWO']","['BMY', 'CASY', 'DECK', 'DG', 'DOC', 'DXCM', 'EFX', 'HSIC', 'IFF', 'QCOM', 'SPG', 'TSCO', 'UHS', 'VTR', 'VTRS', 'WELL']"
2017-02-28,155,16,16,"['COF', 'DAL', 'FITB', 'GS', 'HBAN', 'KLAC', 'MS', 'MTB', 'ODFL', 'PRU', 'PSKY', 'RF', 'ROK', 'TER', 'TTWO', 'WDC']","['CASY', 'CSGP', 'DXCM', 'GE', 'GILD', 'IFF', 'KIM', 'KMI', 'LIN', 'LULU', 'O', 'ORLY', 'TGT', 'UPS', 'VTR', 'VZ']"
2017-03-31,155,16,16,"['BBY', 'C', 'HBAN', 'IDXX', 'KLAC', 'LUV', 'MAR', 'NTRS', 'NVR', 'PGR', 'PRU', 'PSKY', 'ROK', 'TER', 'TTWO', 'WFC']","['CASY', 'CPAY', 'CSGP', 'GILD', 'IFF', 'KIM', 'LULU', 'O', 'PANW', 'RL', 'STE', 'TAP', 'TECH', 'TGT', 'VTR', 'WAB']"
2017-04-30,156,16,16,"['AVGO', 'BBY', 'CBOE', 'CHTR', 'DGX', 'IDXX', 'JBL', 'KLAC', 'LRCX', 'LUV', 'MAR', 'NVR', 'ROK', 'TMUS', 'TSLA', 'TT']","['AZO', 'CASY', 'DXCM', 'F', 'GNRC', 'GPC', 'O', 'ORLY', 'PANW', 'QCOM', 'RL', 'SPG', 'TGT', 'UHS', 'VRSK', 'VZ']"
2017-05-31,156,16,16,"['AAPL', 'ADSK', 'AVGO', 'CDNS', 'CSGP', 'EA', 'EW', 'IDXX', 'ISRG', 'JBL', 'LRCX', 'MAR', 'NVR', 'RCL', 'SWKS', 'TSLA']","['AZO', 'CHRW', 'CINF', 'EOG', 'FANG', 'GNRC', 'KIM', 'MET', 'ORLY', 'PANW', 'QCOM', 'RL', 'SPG', 'TGT', 'TRGP', 'UHS']"
2017-06-30,156,16,16,"['ADSK', 'AVGO', 'BBY', 'CSGP', 'EA', 'HAS', 'IDXX', 'ISRG', 'LRCX', 'NVR', 'PKG', 'PODD', 'RCL', 'TPR', 'TSLA', 'WYNN']","['AZO', 'CASY', 'EME', 'EOG', 'FANG', 'GNRC', 'ORLY', 'QCOM', 'RL', 'ROST', 'SLB', 'SYY', 'T', 'TGT', 'TRGP', 'VZ']"
2017-07-31,157,16,16,"['ADSK', 'APO', 'BBY', 'BKNG', 'CDNS', 'CSGP', 'CTSH', 'EA', 'ISRG', 'LRCX', 'LYV', 'MCD', 'NVR', 'TPR', 'TSLA', 'WYNN']","['AZO', 'CHRW', 'EOG', 'F', 'FANG', 'GNRC', 'HAL', 'KIM', 'OMC', 'PANW', 'SJM', 'SLB', 'T', 'TGT', 'TRGP', 'ULTA']"
2017-08-31,157,16,16,"['ADSK', 'APO', 'APTV', 'BA', 'CBOE', 'CNC', 'EA', 'IEX', 'ISRG', 'LRCX', 'MCD', 'MTD', 'RCL', 'WDAY', 'WYNN', 'XYL']","['AZO', 'EOG', 'GE', 'HAL', 'HBAN', 'KIM', 'OMC', 'ORLY', 'ROST', 'SJM', 'SLB', 'SNA', 'SPG', 'UHS', 'ULTA', 'WBD']"
