formation_date,n_winners,n_losers,winners,losers
2015-07-31,46,47,"['AIG', 'AKAM', 'AMZN', 'ANET', 'BLDR', 'CI', 'CIEN', 'CNC', 'CRM', 'DIS', 'DXCM', 'EA', 'EL', 'EQIX', 'EXPE', 'FICO', 'FIX', 'FTNT', 'GPN', 'HAS', 'HCA', 'IBKR', 'INCY', 'IQV', 'JPM', 'MDLZ', 'MLM', 'MNST', 'MSCI', 'NCLH', 'NFLX', 'ORLY', 'PANW', 'REGN', 'ROL', 'SBUX', 'SCHW', 'SW', 'TKO', 'TMUS', 'TSLA', 'TYL', 'UHS', 'VMC', 'VRSN', 'ZBRA']","['AMAT', 'AMD', 'APA', 'APO', 'BEN', 'BIIB', 'CNP', 'COP', 'CVX', 'DOC', 'DUK', 'DVN', 'ECHO', 'EIX', 'EOG', 'ETR', 'FCX', 'FE', 'GLW', 'GNRC', 'GRMN', 'HPQ', 'HST', 'INTC', 'IRM', 'KLAC', 'KMI', 'LUV', 'MOS', 'MRVL', 'MU', 'NEM', 'NSC', 'NTAP', 'OKE', 'RL', 'RTX', 'SMCI', 'TPR', 'UAL', 'UNP', 'URI', 'VTR', 'WELL', 'WMT', 'WY', 'WYNN']"
2015-08-31,46,47,"['ACGL', 'AIZ', 'AMZN', 'BLDR', 'CAG', 'CASY', 'CCL', 'CI', 'DXCM', 'EA', 'EQIX', 'EXPE', 'EXR', 'FIX', 'FTNT', 'GOOGL', 'GPN', 'HAS', 'HCA', 'HIG', 'IBKR', 'INCY', 'IQV', 'LII', 'LLY', 'MAS', 'MDLZ', 'META', 'MLM', 'NCLH', 'NFLX', 'NKE', 'NVR', 'ORLY', 'PANW', 'PGR', 'RCL', 'REGN', 'ROL', 'SBUX', 'TKO', 'TMUS', 'TSLA', 'TYL', 'UHS', 'VMC']","['ADSK', 'ALB', 'AMAT', 'AMD', 'APA', 'BEN', 'BIIB', 'COP', 'CSX', 'CVX', 'DVN', 'FCX', 'FSLR', 'GLW', 'GM', 'GNRC', 'GRMN', 'HII', 'HPQ', 'IP', 'IRM', 'KLAC', 'KMI', 'MOS', 'MRVL', 'MU', 'NEM', 'NSC', 'NWSA', 'ON', 'PPG', 'PSKY', 'QCOM', 'RL', 'RMD', 'RTX', 'SMCI', 'TPR', 'TRGP', 'TRMB', 'UNP', 'URI', 'VTR', 'WDC', 'WMT', 'WY', 'WYNN']"
2015-09-30,47,47,"['ACGL', 'ADBE', 'AIZ', 'AMZN', 'BLDR', 'CAG', 'CASY', 'CBOE', 'CDNS', 'CDW', 'CMG', 'DXCM', 'EA', 'ED', 'EQIX', 'EXPE', 'EXR', 'FIX', 'FTNT', 'GDDY', 'GOOG', 'GOOGL', 'GPN', 'HAS', 'HIG', 'HRL', 'IBKR', 'INCY', 'LLY', 'MDLZ', 'MO', 'MSFT', 'NFLX', 'NKE', 'NVDA', 'NVR', 'ORLY', 'PANW', 'PGR', 'SBUX', 'TAP', 'TKO', 'TMUS', 'TSLA', 'TSN', 'TTWO', 'TYL']","['ADSK', 'AES', 'AMAT', 'AMD', 'APA', 'BEN', 'BIIB', 'CNC', 'CVX', 'DVN', 'EQT', 'ETN', 'FCX', 'FSLR', 'GLW', 'GNRC', 'GRMN', 'HII', 'HLT', 'HUBB', 'IP', 'KKR', 'KMI', 'LVS', 'MOS', 'MRVL', 'MU', 'NEM', 'NRG', 'NSC', 'OKE', 'ON', 'PKG', 'PODD', 'PPG', 'PSKY', 'RMD', 'RTX', 'TPR', 'TRGP', 'TRMB', 'TT', 'URI', 'VTR', 'VTRS', 'WMB', 'WYNN']"
2015-10-31,47,47,"['ACGL', 'AIZ', 'AMZN', 'AOS', 'CASY', 'CCL', 'CINF', 'DXCM', 'EA', 'EQIX', 'EW', 'EXPE', 'EXR', 'FISV', 'FIX', 'GOOG', 'GOOGL', 'GPN', 'HRL', 'IBKR', 'INCY', 'KDP', 'LDOS', 'LII', 'MAS', 'MDLZ', 'META', 'MO', 'MPWR', 'NCLH', 'NDAQ', 'NFLX', 'NKE', 'NOC', 'NVDA', 'NVR', 'ORLY', 'PGR', 'PSA', 'RCL', 'REGN', 'SBUX', 'TAP', 'TKO', 'TTWO', 'TYL', 'VRSN']","['AKAM', 'APA', 'APO', 'AXON', 'BEN', 'BIIB', 'BKR', 'CMI', 'COP', 'CSX', 'DECK', 'DVN', 'EMR', 'EQT', 'ETN', 'FCX', 'GNRC', 'GRMN', 'HAL', 'HPQ', 'IBM', 'IP', 'IVZ', 'KKR', 'KMI', 'LULU', 'MCK', 'MOS', 'MRVL', 'MU', 'NEM', 'NRG', 'NSC', 'NXPI', 'OKE', 'PCAR', 'PSKY', 'PWR', 'STX', 'TRGP', 'URI', 'VTR', 'VTRS', 'WDC', 'WMB', 'WMT', 'WYNN']"
2015-11-30,47,47,"['AIZ', 'AMZN', 'CASY', 'CBOE', 'CINF', 'DHI', 'DXCM', 'ERIE', 'EVRG', 'EW', 'EXR', 'FISV', 'FIX', 'GOOG', 'GOOGL', 'GPN', 'HD', 'HRL', 'IBKR', 'JKHY', 'KDP', 'LDOS', 'LII', 'LUV', 'MAS', 'MCD', 'META', 'MNST', 'MPWR', 'MSI', 'NFLX', 'NKE', 'NVDA', 'NVR', 'ORLY', 'PODD', 'PSA', 'RCL', 'SBUX', 'STZ', 'TAP', 'TKO', 'TSN', 'TTWO', 'TYL', 'VLO', 'VRSN']","['ADM', 'AES', 'AKAM', 'APO', 'ARES', 'AXON', 'BG', 'BIIB', 'BX', 'CF', 'CMI', 'CNC', 'COO', 'DECK', 'DVN', 'ECHO', 'ELV', 'EQT', 'FCX', 'GNRC', 'HLT', 'HUM', 'IRM', 'KKR', 'KMI', 'LULU', 'MCK', 'MOS', 'MRVL', 'MU', 'NEM', 'NRG', 'OKE', 'PWR', 'QCOM', 'SMCI', 'STX', 'SWKS', 'TRGP', 'VTR', 'VTRS', 'WAB', 'WDC', 'WMB', 'WMT', 'WYNN', 'ZBRA']"
2015-12-31,47,47,"['ADSK', 'AIZ', 'AMZN', 'ATO', 'AWK', 'CASY', 'CDW', 'CINF', 'CLX', 'DAL', 'EQIX', 'EVRG', 'EXR', 'FIX', 'FSLR', 'GOOG', 'GOOGL', 'GPN', 'HRL', 'JKHY', 'KDP', 'KIM', 'KLAC', 'KMB', 'LDOS', 'LUV', 'MAA', 'MAS', 'MCD', 'META', 'MGM', 'MO', 'MPWR', 'MSFT', 'MSI', 'NFLX', 'NVDA', 'NVR', 'PODD', 'PSA', 'RCL', 'STZ', 'TAP', 'TSN', 'TTWO', 'TYL', 'VRSN']","['ADM', 'AES', 'AKAM', 'APA', 'APO', 'ARES', 'AXON', 'BEN', 'BG', 'BIIB', 'BKR', 'BX', 'CF', 'CMG', 'CMI', 'COO', 'COP', 'DECK', 'DVN', 'EQT', 'ETN', 'FCX', 'FTNT', 'GNRC', 'HCA', 'HLT', 'HST', 'KKR', 'KMI', 'MOS', 'MRVL', 'MU', 'NEM', 'NRG', 'OKE', 'PCAR', 'PNR', 'PWR', 'STX', 'SWKS', 'TRGP', 'WAB', 'WDC', 'WMB', 'WSM', 'WYNN', 'ZBRA']"
2016-01-31,47,47,"['AMD', 'ATO', 'AWK', 'CASY', 'CLX', 'CMS', 'COHR', 'DLR', 'EQIX', 'ERIE', 'EVRG', 'EXR', 'FANG', 'FSLR', 'GE', 'GOOG', 'GOOGL', 'HRL', 'ICE', 'JKHY', 'KDP', 'KLAC', 'KMB', 'LDOS', 'MAA', 'MCD', 'META', 'MO', 'MPWR', 'MSFT', 'MSI', 'NDAQ', 'NEM', 'NI', 'NVDA', 'O', 'PPL', 'PSA', 'REG', 'SJM', 'STZ', 'TAP', 'TPR', 'TSN', 'TYL', 'WEC', 'XEL']","['AKAM', 'AMP', 'ANET', 'APO', 'ARES', 'AXON', 'AXP', 'BLDR', 'BX', 'CF', 'CIEN', 'CMG', 'CMI', 'DECK', 'DVN', 'FCX', 'FFIV', 'FTNT', 'GILD', 'HLT', 'HPQ', 'INCY', 'KKR', 'KMI', 'MOS', 'MRVL', 'MS', 'MU', 'NCLH', 'NRG', 'NTAP', 'OKE', 'PFG', 'PWR', 'QCOM', 'STX', 'SWKS', 'TRGP', 'TSLA', 'URI', 'VRTX', 'WAB', 'WDC', 'WMB', 'WSM', 'WYNN', 'ZBRA']"
2016-02-29,47,47,"['AEE', 'ALB', 'AMAT', 'ATO', 'AWK', 'CINF', 'CMS', 'COHR', 'DLR', 'DPZ', 'EVRG', 'EW', 'FAST', 'FSLR', 'GDDY', 'GE', 'HRL', 'HSIC', 'JKHY', 'KDP', 'KIM', 'KLAC', 'KMB', 'LITE', 'LNT', 'MCD', 'META', 'MKC', 'MPWR', 'MSFT', 'NDAQ', 'NEM', 'NI', 'NOC', 'NVDA', 'O', 'PSA', 'REG', 'SMCI', 'TAP', 'TPR', 'TRMB', 'TSN', 'TTWO', 'VRSN', 'WEC', 'XEL']","['ADM', 'AKAM', 'AMP', 'ARES', 'AXP', 'BAC', 'BG', 'BKR', 'BLDR', 'C', 'CF', 'CFG', 'CMG', 'COP', 'DVN', 'DXCM', 'EQT', 'FCX', 'FITB', 'FTNT', 'INCY', 'KEY', 'KKR', 'KMI', 'MOS', 'MPC', 'MS', 'MU', 'NOW', 'NRG', 'NTAP', 'OKE', 'PFG', 'PKG', 'REGN', 'STT', 'STX', 'SWKS', 'TRGP', 'TSLA', 'URI', 'VRTX', 'WAB', 'WDC', 'WMB', 'WSM', 'ZBRA']"
2016-03-31,47,47,"['ADSK', 'ALB', 'ALGN', 'AMAT', 'AMD', 'ATO', 'AVY', 'COHR', 'DLR', 'EQIX', 'EVRG', 'FAST', 'FSLR', 'GDDY', 'GE', 'HII', 'HRL', 'HSIC', 'ISRG', 'KLAC', 'LITE', 'LNT', 'LRCX', 'LULU', 'LVS', 'MAA', 'MCD', 'META', 'NEM', 'NI', 'NUE', 'NVDA', 'O', 'OMC', 'PODD', 'PPG', 'PSA', 'PSKY', 'SHW', 'STLD', 'TPR', 'TRMB', 'TSN', 'TTWO', 'VZ', 'WST', 'WYNN']","['ADM', 'AKAM', 'AMP', 'AXON', 'AXP', 'BAC', 'BBY', 'BG', 'BIIB', 'BKR', 'BLDR', 'C', 'CBRE', 'CF', 'CFG', 'CMG', 'COP', 'DVN', 'DXCM', 'FITB', 'FTNT', 'INCY', 'JBL', 'KEY', 'KEYS', 'KMI', 'LLY', 'MCK', 'MOS', 'MPC', 'MS', 'MU', 'NOW', 'NRG', 'PFG', 'REGN', 'RF', 'RL', 'STT', 'STX', 'TRGP', 'TYL', 'VRTX', 'WDC', 'WMB', 'WSM', 'ZBRA']"
2016-04-30,47,47,"['ALB', 'AMAT', 'AMCR', 'AMD', 'AVGO', 'AWK', 'BAX', 'BSX', 'CNP', 'CPRT', 'CRL', 'DG', 'DLR', 'DLTR', 'EIX', 'EL', 'EVRG', 'EW', 'EXC', 'FAST', 'FCX', 'GNRC', 'GRMN', 'HII', 'IDXX', 'IRM', 'ISRG', 'LITE', 'LNT', 'LULU', 'MRVL', 'NEM', 'NI', 'NRG', 'NUE', 'NVDA', 'O', 'PSKY', 'STLD', 'T', 'TPR', 'TSN', 'ULTA', 'VTR', 'WMT', 'WST', 'WYNN']","['AAPL', 'AKAM', 'AMP', 'AXON', 'BX', 'CBRE', 'CF', 'CIEN', 'CMG', 'CTSH', 'DAL', 'DVN', 'DXCM', 'EA', 'EXPE', 'FDS', 'GILD', 'INCY', 'JBL', 'KEYS', 'KKR', 'KMI', 'LYV', 'MOS', 'MPC', 'MS', 'MU', 'NCLH', 'NFLX', 'NTAP', 'NWS', 'NWSA', 'ON', 'PFG', 'RCL', 'REGN', 'RL', 'SBAC', 'STX', 'TRGP', 'TYL', 'UAL', 'VRTX', 'WDC', 'WMB', 'WSM', 'ZBRA']"
