t,mean,tstat,n_portfolios
1,0.016630024862511264,2.603053573352019,125
2,0.017277491294361808,2.9326717173452193,124
3,0.01780464531968671,2.8123407977900663,123
4,0.018131457827501637,2.850667687980513,122
5,0.0159525848298716,2.5202358016428645,121
6,0.02009315461277439,3.101682579523941,120
7,0.02075042135646165,3.233291010550586,119
8,0.02104010359115503,3.3535320319683466,118
9,0.018370751032646022,3.152911688301134,117
10,0.019501061626367524,3.2376410161278923,116
11,0.02001811838551455,3.394339155820612,115
12,0.017707938161417573,2.990468741209756,114
13,0.017545397220854714,2.811205907002393,113
14,0.01796847603553176,2.9157574945309643,112
15,0.018528266372964168,3.041910614495137,111
16,0.017338675912065858,2.848815832961417,110
17,0.016375054392649996,2.8373528412519797,109
18,0.018055500411438084,3.1441517040486047,108
19,0.018634056444925315,3.3258884543987297,107
20,0.0175091690654795,3.0512932431501665,106
21,0.019464385565678994,3.4612289876994407,105
22,0.019407861512398986,3.426273103811332,104
23,0.019888267562904943,3.577320002039557,103
24,0.01811992162565422,3.124693451003395,102
25,0.01735303305621685,2.9480361262283674,101
26,0.016363925902095205,2.744309755332882,100
27,0.015768712882687056,2.593163801034987,99
28,0.015644386600385144,2.5234082099872515,98
29,0.013928565033905332,2.3041110865582977,97
30,0.013195116298746057,2.0751524694915346,96
31,0.014493119661029574,2.13669648568973,95
32,0.014671145425744134,2.112192627730591,94
33,0.017350788470022464,2.4874106272034537,93
34,0.015622655296602258,2.139414264887825,92
35,0.015277808105064088,2.1973225622232975,91
36,0.01578181470625262,2.3429175209786166,90
