t,mean,tstat,n_portfolios
1,0.021113177387289142,4.124519245434807,125
2,0.02062508197661341,4.072109425972826,124
3,0.02043265611968979,3.9977513930015705,123
4,0.020086064188767877,3.6333024331258446,122
5,0.020109497054961994,3.6725556218547775,121
6,0.021424053155250804,4.108300853118397,120
7,0.02103010038325906,4.162070432978205,119
8,0.01962372695803359,3.840321327088633,118
9,0.01959391911935067,3.808891207120429,117
10,0.01881256697710189,3.7745950921730307,116
11,0.018710094067752016,3.507118174679858,115
12,0.021055432355522617,3.7260612023958717,114
13,0.01955201398897192,3.515408923832628,113
14,0.018975694737370426,3.4643823899608455,112
15,0.019920692925992307,3.4853300635234286,111
16,0.01888964284450162,3.3031008704317806,110
17,0.01837330028002157,3.113417487181724,109
18,0.01727659671364695,2.897803789975418,108
19,0.01686650462618098,2.801471368435517,107
20,0.015012772953654973,2.484901579551182,106
21,0.014259423072716987,2.347888937307251,105
22,0.01428154886998632,2.316332672390601,104
23,0.01363311676678079,2.203723580133773,103
24,0.01269947693817454,2.006535104748063,102
25,0.012835607746386306,1.9952111331317368,101
26,0.014785148369469057,2.284637611942755,100
27,0.014749042761134394,2.323415206202461,99
28,0.01694164610764994,2.6438517979659326,98
29,0.01703954598388123,2.719948263107585,97
30,0.01881532097257815,2.954428899847719,96
31,0.01703904126459055,2.701959526173285,95
32,0.0173144348432909,2.740096081400185,94
33,0.018593166982623505,2.9283264540389964,93
34,0.018450457361838094,2.888925089373884,92
35,0.017840140593616764,2.633044979679723,91
36,0.01718138520651948,2.4422509623358453,90
